Latitude,Longitude,Elevation,Time,Distance (m),Cumulative Distance (m),Time Diff (s),Speed (m/s),Speed (km/h),Pace (min/km)
51.630014,0.441282,84.6,2023-03-05 17:57:16+00:00,0.0,0.0,0.0,,,
51.63004,0.441306,84.6,2023-03-05 17:57:17+00:00,3.336131306332916,3.336131306332916,1.0,3.336131306332916,12.010072702798498,4.995806560439825
51.630048,0.441315,84.6,2023-03-05 17:57:18+00:00,1.0865567922892267,4.422688098622142,1.0,1.0865567922892267,3.9116044522412166,15.338974257896151
51.630072,0.44135,84.6,2023-03-05 17:57:19+00:00,3.6060428664524484,8.02873096507459,1.0,3.6060428664524484,12.981754319228815,4.621871476270884
51.630081,0.441363,84.6,2023-03-05 17:57:20+00:00,1.3464641657567071,9.375195130831298,1.0,1.3464641657567071,4.847270996724146,12.378098942796646
51.630103,0.441397,84.5,2023-03-05 17:57:21+00:00,3.396153502337215,12.771348633168513,1.0,3.396153502337215,12.226152608413974,4.907512765602837
51.630113,0.441406,84.5,2023-03-05 17:57:22+00:00,1.2752425109475225,14.046591144116036,1.0,1.2752425109475225,4.590873039411081,13.069409562172694
51.630143,0.441434,84.5,2023-03-05 17:57:23+00:00,3.8600372493494173,17.906628393465454,1.0,3.8600372493494173,13.896134097657903,4.317747625227118
51.630152,0.441439,84.5,2023-03-05 17:57:24+00:00,1.059504960526476,18.96613335399193,1.0,1.059504960526476,3.814217857895313,15.730616927347727
51.630169,0.441474,84.4,2023-03-05 17:57:25+00:00,3.0742132729583798,22.04034662695031,1.0,3.0742132729583798,11.067167782650168,5.421441255644565
51.630175,0.441488,84.4,2023-03-05 17:57:26+00:00,1.1770157105073322,23.217362337457644,1.0,1.1770157105073322,4.237256557826396,14.16010552610448
51.630204,0.441519,84.4,2023-03-05 17:57:27+00:00,3.875326500062865,27.09268883752051,1.0,3.875326500062865,13.951175400226315,4.300712899002523
51.630211,0.441528,84.4,2023-03-05 17:57:28+00:00,0.9974567888541757,28.090145626374685,1.0,0.9974567888541757,3.5908444398750325,16.709161592666515
51.630235,0.441558,84.4,2023-03-05 17:57:29+00:00,3.3830882311063353,31.47323385748102,1.0,3.3830882311063353,12.179117631982807,4.926465267273371
51.630246,0.441565,84.4,2023-03-05 17:57:30+00:00,1.3163483216614684,32.789582179142485,1.0,1.3163483216614684,4.738853957981286,12.661289107453213
51.630276,0.44159,84.3,2023-03-05 17:57:31+00:00,3.7599919478028245,36.54957412694531,1.0,3.7599919478028245,13.535971012090169,4.4326336061453375
51.630287,0.441599,84.3,2023-03-05 17:57:32+00:00,1.3733887260667357,37.922962853012045,1.0,1.3733887260667357,4.9441994138402485,12.135432853303326
51.63032,0.441605,84.3,2023-03-05 17:57:33+00:00,3.6950208036009404,41.617983656612985,1.0,3.6950208036009404,13.302074892963386,4.5105745143367955
51.63033,0.441603,84.3,2023-03-05 17:57:34+00:00,1.1211885769578334,42.73917223357082,1.0,1.1211885769578334,4.0362788770482005,14.865177017669062
51.630352,0.44156,84.3,2023-03-05 17:57:35+00:00,3.8543975244425632,46.59356975801338,1.0,3.8543975244425632,13.875831087993229,4.3240653204490265
51.630356,0.44154,84.2,2023-03-05 17:57:36+00:00,1.454598500469526,48.0481682584829,1.0,1.454598500469526,5.236554601690294,11.457915473779792
51.630364,0.441497,84.2,2023-03-05 17:57:37+00:00,3.107611988702996,51.1557802471859,1.0,3.107611988702996,11.187403159330785,5.363174916062389
51.630361,0.441453,84.2,2023-03-05 17:57:38+00:00,3.064887329485132,54.22066757667103,1.0,3.064887329485132,11.033594386146476,5.437937801604761
51.63036,0.441438,84.2,2023-03-05 17:57:39+00:00,1.0445756415451777,55.26524321821621,1.0,1.0445756415451777,3.7604723095626396,15.955442577631501
51.630369,0.441433,84.2,2023-03-05 17:57:40+00:00,1.059504454216929,56.32474767243314,1.0,1.059504454216929,3.8142160351809444,15.730624444599302
51.630371,0.441447,84.2,2023-03-05 17:57:41+00:00,0.9946026104311994,57.31935028286434,1.0,0.9946026104311994,3.580569397552318,16.757111324532932
51.630374,0.441458,84.2,2023-03-05 17:57:42+00:00,0.8315902009139435,58.150940483778285,1.0,0.8315902009139435,2.993724723290197,20.041922870603187
51.630386,0.441459,84.2,2023-03-05 17:57:43+00:00,1.3369181498991063,59.48785863367739,1.0,1.3369181498991063,4.8129053396367825,12.466482460369363
51.630423,0.441451,84.1,2023-03-05 17:57:44+00:00,4.153733775453287,63.64159240913068,1.0,4.153733775453287,14.953441591631835,4.012454232180027
51.630434,0.44145,84.1,2023-03-05 17:57:45+00:00,1.2258207061285444,64.86741311525923,1.0,1.2258207061285444,4.41295454206276,13.596333120611305
51.630468,0.441444,84.1,2023-03-05 17:57:46+00:00,3.8055961245840737,68.6730092398433,1.0,3.8055961245840737,13.700146048502665,4.379515356083201
51.630479,0.441445,84.1,2023-03-05 17:57:47+00:00,1.2258207110456818,69.89882995088898,1.0,1.2258207110456818,4.412954559764454,13.596333066072305
51.630512,0.44145,84.1,2023-03-05 17:57:48+00:00,3.6878773220896894,73.58670727297867,1.0,3.6878773220896894,13.276358359522883,4.519311574394429
51.630523,0.441453,84.1,2023-03-05 17:57:49+00:00,1.2413670112651911,74.82807428424387,1.0,1.2413670112651911,4.468921240554688,13.426058945839182
51.630556,0.44146,84.1,2023-03-05 17:57:50+00:00,3.703445135814873,78.53151942005874,1.0,3.703445135814873,13.332402488933543,4.500314181919015
51.630568,0.441464,84.1,2023-03-05 17:57:51+00:00,1.3635493655824946,79.89506878564124,1.0,1.3635493655824946,4.9087777160969805,12.223002032307672
51.630592,0.441506,84.1,2023-03-05 17:57:52+00:00,3.9481154080507768,83.84318419369203,1.0,3.9481154080507768,14.213215468982797,4.221423373967471
51.630597,0.441519,84.1,2023-03-05 17:57:53+00:00,1.058173585092489,84.90135777878452,1.0,1.058173585092489,3.80942490633296,15.750408913495914
51.630616,0.441564,84.1,2023-03-05 17:57:54+00:00,3.7653018518214814,88.66665963060599,1.0,3.7653018518214814,13.555086666557333,4.4263826175328
51.630623,0.441578,84.1,2023-03-05 17:57:55+00:00,1.2434921529537226,89.91015178355971,1.0,1.2434921529537226,4.4765717506334015,13.403113664270085
51.630639,0.441632,84.1,2023-03-05 17:57:56+00:00,4.141200766854097,94.05135255041381,1.0,4.141200766854097,14.90832276067475,4.024597599823121
51.630643,0.441651,84.1,2023-03-05 17:57:57+00:00,1.388830426358843,95.44018297677265,1.0,1.388830426358843,4.999789534891835,12.000505137522362
51.630673,0.441684,84.1,2023-03-05 17:57:58+00:00,4.045009416936571,99.48519239370921,1.0,4.045009416936571,14.562033900971656,4.120303551552403
51.63068,0.441699,84.1,2023-03-05 17:57:59+00:00,1.2981943457281455,100.78338673943736,1.0,1.2981943457281455,4.673499644621324,12.838344829886378
51.6307,0.441739,84.1,2023-03-05 17:58:00+00:00,3.5528313941002723,104.33621813353763,1.0,3.5528313941002723,12.79019301876098,4.691094177546068
51.630705,0.441754,84.1,2023-03-05 17:58:01+00:00,1.178225228089176,105.5144433616268,1.0,1.178225228089176,4.241610821121034,14.145569343899009
51.630714,0.441799,84.0,2023-03-05 17:58:02+00:00,3.2728234557803377,108.78726681740714,1.0,3.2728234557803377,11.782164440809217,5.092442929431658
51.630724,0.441847,84.0,2023-03-05 17:58:03+00:00,3.504883486412323,112.29215030381947,1.0,3.504883486412323,12.617580551084362,4.755269820317777
51.630725,0.441865,84.0,2023-03-05 17:58:04+00:00,1.2513063367989639,113.54345664061843,1.0,1.2513063367989639,4.50470281247627,13.319413621210126
51.630743,0.441906,84.0,2023-03-05 17:58:05+00:00,3.4742121079755384,117.01766874859396,1.0,3.4742121079755384,12.507163588711938,4.7972507574900245
51.630752,0.441917,84.0,2023-03-05 17:58:06+00:00,1.258098028396977,118.27576677699093,1.0,1.258098028396977,4.529152902229117,13.247510361257564
51.630747,0.441971,84.0,2023-03-05 17:58:07+00:00,3.7802055941354995,122.05597237112643,1.0,3.7802055941354995,13.608740138887798,4.408931274140975
51.630745,0.441989,84.0,2023-03-05 17:58:08+00:00,1.266057921567988,123.32203029269442,1.0,1.266057921567988,4.557808517644757,13.164221306735577
51.630748,0.442035,84.0,2023-03-05 17:58:09+00:00,3.202556869400418,126.52458716209483,1.0,3.202556869400418,11.529204729841505,5.204175084574532
51.630748,0.44205,84.0,2023-03-05 17:58:10+00:00,1.0386245856433078,127.56321174773814,1.0,1.0386245856433078,3.7390485083159084,16.046863223773578
51.630765,0.442098,84.0,2023-03-05 17:58:11+00:00,3.8241070411747295,131.38731878891286,1.0,3.8241070411747295,13.766785348229027,4.358315938129918
51.630779,0.442111,84.0,2023-03-05 17:58:12+00:00,1.7990303377102788,133.18634912662316,1.0,1.7990303377102788,6.4765092157570034,9.264249922477248
51.630809,0.442148,84.0,2023-03-05 17:58:13+00:00,4.207671688494277,137.39402081511744,1.0,4.207671688494277,15.147618078579399,3.9610188010250535
51.63082,0.442159,84.0,2023-03-05 17:58:14+00:00,1.4415142684073965,138.83553508352483,1.0,1.4415142684073965,5.189451366266628,11.561915849143979
